,Week,Name,Location,Cost
0,1,The Garage at Bottleworks,"850 Massachusetts Ave. Indianapolis, IN 46204",Not Listed
1,2,St. Elmo Steak House,"127 S. Illinois St. Indianapolis, IN 46225",$24 to $40
2,3,Milktooth,"534 Virginia Ave. Indianapolis, IN 46203",$12 and under
3,4,The Rathskeller,"401 E. Michigan St. The Athenaeum Building, Indianapolis, IN 46204",$24 to $40
4,5,Harry & Izzy's,"153 S. Illinois St. Indianapolis, IN 46225",$24 to $40
5,6,Gordon's Milkshake Bar,"865 Massachusetts Ave. Indianapolis, IN 46204",$12 and under
6,7,Yat's,"885 Massachusetts Ave. Indianapolis, IN 46204",$12 and under
7,8,BRU Burger Bar,"410 Massachusetts Ave. Indianapolis, IN 46204",$12 to $24
8,9,Michael's Soul Kitchen,"115 E. Ohio St. Indianapolis, IN 46204",Not Listed
9,10,Livery,"720 N. College Ave. Indianapolis, IN 46202",$24 to $40
