,Name,Latitude,Longitude,Type
0,IUPUI,39.7749927,-86.1772798,Housing
1,Industrious Mass Ave,39.7724063,-86.1531092,Coworking
2,THE LUME Indianapolis,39.82596059999999,-86.1856632,Event
3,Talbot Street Art Fair,39.7917451,-86.1522827,Event
4,Alligators and Crocodiles - The Fight to Survive,39.7657908,-86.1811731,Event
5,Emotional Intelligence 1 Day Training,39.9249883,-86.10077419999999,Event
6,5 Seconds of Summer - No Shame Tour,39.7659212,-86.171933,Event
7,Mind Tripping Show - A Comedy with a Psychological Twist,39.7689576,-86.1601024,Event
8,The Garage at Bottleworks,39.7790868,-86.1433955,Restaurant
9,St. Elmo Steak House,39.7649096,-86.1598161,Restaurant
10,Milktooth,39.7592171,-86.14663159999999,Restaurant
11,The Rathskeller,39.7738212,-86.1502986,Restaurant
12,Harry & Izzy's,39.7646029,-86.1597484,Restaurant
13,Gordon's Milkshake Bar,39.7789768,-86.142978,Restaurant
14,Yat's,39.779421,-86.14234569999999,Restaurant
15,BRU Burger Bar,39.773332,-86.1521353,Restaurant
16,Michael's Soul Kitchen,39.7696227,-86.1551846,Restaurant
17,Livery,39.7766812,-86.1456632,Restaurant
